item_id,merchant,category_id,category,title,price,currency,brand,item_url,quantity,description,product_image,gallery_images
ATL11,Atlantic Discount Store,,,Microsoft Excel 2016 - Open Business -,43.97,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28326&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,Excel 2016 helps you unlock insights and tell the story in your data.,https://atlanticdiscountstore.com/images/boxes/productexcel%202016.png,
ATL12,Atlantic Discount Store,,,Microsoft Excel 2016 - Open Government -,43.96,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28327&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,Excel 2016 helps you unlock insights and tell the story in your data.,https://atlanticdiscountstore.com/images/boxes/productexcel%202016.png,
ATL13,Atlantic Discount Store,,,Microsoft Excel 2010 Download,35.99,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28328&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Excel 2010 makes it possible to analyze, manage, and share information in more ways than ever before, helping you make better, smarter decisions. Data analysis and visualization tools help you track and highlight important data trends. Easily upload your files to the Web and work simultaneously with others online. Access your important data on the go from almost any Web browser. Whether you're producing financial reports or managing personal expenses, Excel 2010 gives you more efficiency and flexibility to accomplish your goals.",https://atlanticdiscountstore.com/images/boxes/productMS_excel2010_box.png,
ATL14,Atlantic Discount Store,,,Microsoft Excel 2010 - Box Pack - 32/64 Bit,35.98,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28329&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Excel 2010 makes it possible to analyze, manage, and share information in more ways than ever before, helping you make better, smarter decisions. Data analysis and visualization tools help you track and highlight important data trends. Easily upload your files to the Web and work simultaneously with others online. Access your important data on the go from almost any Web browser. Whether you're producing financial reports or managing personal expenses, Excel 2010 gives you more efficiency and flexibility to accomplish your goals.",https://atlanticdiscountstore.com/images/boxes/productMS_excel2010_box.png,
ATL15,Atlantic Discount Store,,,Microsoft Office 2010 Home and Business - Electronic Version,35.99,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28330&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Office Home and Business 2010 is the essential software suite for managing small businesses and working from home. Enhanced tools and features help you run your business, connect with customers, and organize your household more efficiently. Office Home and Business 2010 features photo, video, and text effects for creating standout documents and presentations. More communication tools in Outlook 2010 help you stay in touch and organized. Office Home and Business 2010 makes it easier than ever for you to manage things in the office, at home, or in between.",https://atlanticdiscountstore.com/images/boxes/productMS_office2010homeandbusiness_box.png,
ATL16,Atlantic Discount Store,,,Microsoft Office 2010 Home and Business Download,35.98,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28331&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Office Home and Business 2010 is the essential software suite for managing small businesses and working from home. Enhanced tools and features help you run your business, connect with customers, and organize your household more efficiently. Office Home and Business 2010 features photo, video, and text effects for creating standout documents and presentations. More communication tools in Outlook 2010 help you stay in touch and organized. Office Home and Business 2010 makes it easier than ever for you to manage things in the office, at home, or in between.",https://atlanticdiscountstore.com/images/boxes/productMS_office2010homeandbusiness_box.png,
ATL17,Atlantic Discount Store,,,MICROSOFT OFFICE HOME AND STUDENT 2010 - ELECTRONIC DOWNLOAD + KEY,35.99,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28332&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Office 2010 offers rich and powerful ways to deliver your best work at the office, home, or school. Grab your audience's attention and inspire them with your ideas visually. Create results with people at the same time and stay connected to your files across the town or around the world. With Office 2010, you're in control of getting things done and delivering amazing results according to your schedule.",https://atlanticdiscountstore.com/images/boxes/productMS_office2010homeandstudent_box.png,
ATL18,Atlantic Discount Store,,,Microsoft Office Home & Student 2010 1 PC License,35.98,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28333&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Office 2010 offers rich and powerful ways to deliver your best work at the office, home, or school. Grab your audience's attention and inspire them with your ideas visually. Create results with people at the same time and stay connected to your files across the town or around the world. With Office 2010, you're in control of getting things done and delivering amazing results according to your schedule.",https://atlanticdiscountstore.com/images/boxes/productMS_office2010homeandstudent_box.png,
ATL19,Atlantic Discount Store,,,Microsoft Office Home & Student 2010 1 PC License Download,35.97,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28334&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Office 2010 offers rich and powerful ways to deliver your best work at the office, home, or school. Grab your audience's attention and inspire them with your ideas visually. Create results with people at the same time and stay connected to your files across the town or around the world. With Office 2010, you're in control of getting things done and delivering amazing results according to your schedule.",https://atlanticdiscountstore.com/images/boxes/productMS_office2010homeandstudent_box.png,
ATL20,Atlantic Discount Store,,,Office 2010 Home&Student 32/64 Bit Download for Windows,35.96,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28335&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Office 2010 offers rich and powerful ways to deliver your best work at the office, home, or school. Grab your audience's attention and inspire them with your ideas visually. Create results with people at the same time and stay connected to your files across the town or around the world. With Office 2010, you're in control of getting things done and delivering amazing results according to your schedule.",https://atlanticdiscountstore.com/images/boxes/productMS_office2010homeandstudent_box.png,
